sic_description,n_events,n_tickers,n_capture_ret_abn,n_capture_ret,n_drop_ratio,event_share_of_analysis,ticker_share_of_analysis,mean_capture_ret_abn,stddev_capture_ret_abn,se_capture_ret_abn,ci95_low_capture_ret_abn,ci95_high_capture_ret_abn,median_capture_ret_abn,p25_capture_ret_abn,p75_capture_ret_abn,positive_capture_ret_abn_rate,mean_capture_ret,median_capture_ret,mean_drop_ratio,median_drop_ratio,p25_drop_ratio,p75_drop_ratio,drop_ratio_lt_1_rate,low_n_flag,low_ticker_flag,report_eligible_flag
FARM MACHINERY & EQUIPMENT,83,4,83,83,83,0.0005145818867175876,0.0004439511653718091,0.0008660415044933762,0.0054238202096616485,0.000595341611630638,-0.00030082805430267407,0.0020329110632894267,0.0005205514468424727,-0.003019374305061276,0.00423538555907405,0.5421686746987951,0.0016710211492533046,0.0016930584603128084,0.17676741171222615,0.5374149659863698,-1.999999999999997,2.2424242424242267,0.5783132530120482,False,True,False
MISCELLANEOUS CHEMICAL PRODUCTS,83,5,83,83,83,0.0005145818867175876,0.0005549389567147614,-0.0014561282187815462,0.011768807913632582,0.001291794491600692,-0.003988045422318902,0.00107578898475581,-0.0005791388269777049,-0.004732347256209915,0.0035521942088349743,0.4457831325301205,-0.0013141635401156117,0.00012195121951211459,0.9957676050012888,0.9661835748792065,-0.5227272727272818,2.6216216216216184,0.5421686746987951,False,False,True
SERVICES-PERSONAL SERVICES,83,5,83,83,83,0.0005145818867175876,0.0005549389567147614,0.0006019033172356927,0.008006706325281807,0.0008788501947493305,-0.0011206430644729952,0.0023244496989443804,8.542627712276529e-05,-0.0031933430489214007,0.004063542207881447,0.5180722891566265,0.000768531101517798,0.0009114385538508624,0.6623697513530206,0.7599999999999909,-0.3636363636363774,1.7407407407407365,0.5903614457831325,False,False,True
ACCIDENT & HEALTH INSURANCE,80,4,80,80,80,0.0004959825414145422,0.0004439511653718091,-0.0005549922238455272,0.006216741598433946,0.0006950528406324502,-0.0019172957914851295,0.000807311343794075,-0.0014317554350765924,-0.004044310489304121,0.0020278921056768036,0.4,0.0012588878575232744,0.0010496183206106817,0.8748221816388394,0.8095238095237951,0.3888888888888905,1.6206896551724346,0.5625,False,True,False
NATURAL GAS TRANSMISSION & DISTRIBUTION,80,4,80,80,80,0.0004959825414145422,0.0004439511653718091,0.0006671955493152097,0.006966767322725358,0.0007789082658519057,-0.0008594646517545256,0.002193855750384945,0.0006995532567907522,-0.003383820356513462,0.00465890888716468,0.55,0.0011421647410384708,0.00027800945232145786,0.7767773396027323,0.9583333333332907,0.1621621621621683,1.1999999999999922,0.55,False,True,False
"SERVICES-CONSUMER CREDIT REPORTING, COLLECTION AGENCIES",80,4,80,80,80,0.0004959825414145422,0.0004439511653718091,0.00025586796031629936,0.004057250848993346,0.00045361443500589277,-0.0006332163322952505,0.001144952252927849,-0.00016830126803640496,-0.002655311633822921,0.0018100380088697699,0.4875,0.0007733902138999715,0.0011696386432191645,0.292438549291135,0.19417475728154235,-1.4545454545454604,2.556701030927854,0.5875,False,True,False
"SOAP, DETERGENTS, CLEANG PREPARATIONS, PERFUMES, COSMETICS",80,4,80,80,80,0.0004959825414145422,0.0004439511653718091,0.0024783065379395007,0.00890996772190302,0.0009961646751752047,0.0005258237745960994,0.004430789301282902,0.0015165520743797227,-0.0033437948206164634,0.004884379284588368,0.575,0.003252687606644393,0.0028256012616637966,0.1565257591520644,0.2531645569620109,-0.6153846153846241,1.240506329113929,0.675,False,True,False
TITLE INSURANCE,80,4,80,80,80,0.0004959825414145422,0.0004439511653718091,0.0008884641942036233,0.008068820254083934,0.0009021215293179399,-0.000879694003259539,0.002656622391666786,0.0005639737439238324,-0.0032618273449165633,0.005030318012672126,0.5375,0.0016737818294023411,0.0007301208018054802,1.0899725490253638,0.9038461538461516,0.1999999999999918,1.368421052631576,0.55,False,True,False
"FOOTWEAR, (NO RUBBER)",79,4,79,79,79,0.0004897827596468604,0.0004439511653718091,0.002734290993271953,0.010292554769632103,0.001158002884093152,0.00046460534044937517,0.0050039766460945306,0.0030242259219754528,-0.0034184292840544763,0.006022340596524778,0.6329113924050633,0.0021863944358057135,0.002419842710223698,0.6783326642212613,0.5806451612903446,-0.7142857142857244,2.3000000000000043,0.569620253164557,False,True,False
AIR-COND & WARM AIR HEATG EQUIP & COMM & INDL REFRIG EQUIP,77,4,77,77,77,0.0004773831961114969,0.0004439511653718091,0.0008441371682229358,0.014955541690794945,0.0017043421523491402,-0.0024963734503813785,0.004184647786827251,0.0012529281855366565,-0.002137945509473868,0.005059574071297564,0.6103896103896104,0.0008611051932596026,0.00030646644192457444,0.6934894915800492,0.8333333333333452,-0.9909090909090681,2.1714285714285864,0.5454545454545454,False,True,False
