ticker,ex_date,ex_ym,cash_amount,n_distributions,frequency,pay_date,record_date,declaration_date,prev_close,ex_open,ex_close,pre_avg_ret,pre_avg_abn_ret,pre_vol,pre_avg_volume,pre_avg_dollar_volume,post_avg_ret,post_avg_abn_ret,post_close,mkt_prev_close,mkt_ex_open,n_bars,n_bars_pre,n_bars_post,max_span_days,drop_ratio,drop_pct,div_yield,capture_ret,mkt_overnight_ret,capture_ret_abn,hold_ret,has_core,window_complete,window_contiguous,drop_ratio_extreme,low_yield
MSFW,2026-07-13,2026-07,0.248364,1,52,2026-07-14,2026-07-13,2025-12-30,25.4,25.335,25.54,-7.986355395477318E-4,-0.0020321613357027757,0.009796712304836757,12983.123000200001,329971.546245259,0.010694315920103467,0.00999575730970074,26.35,754.95,752.47,9,5,3,7,0.2617126475656606,0.002559055118110147,0.009778110236220473,0.0072190551181103265,-0.003284985760646424,0.01050404087875675,0.047179685039370194,true,true,true,false,false
MST,2026-07-08,2026-07,0.0745,1,52,2026-07-09,2026-07-08,2026-07-07,8.5789,7.92,7.94,0.02588717733041675,0.025000036116692364,0.10166918448498095,108044.32535975,952965.7238942827,-0.009152123370670543,-0.010858553435064663,7.7156,747.71,743.16,8,4,3,7,8.844295302013435,0.07680471855366082,0.0086840970287566,-0.06812062152490422,-0.006085246954033072,-0.06203537457087115,-0.09194651995011022,true,false,true,false,false
MYCL,2026-07-01,2026-07,0.09473,1,12,2026-07-07,2026-07-01,2026-01-02,,24.5694,24.5694,,,,,,-5.230062465565085E-4,-0.0014101474602808972,24.5306,,745.0,4,0,3,6,,,,,,,,false,false,true,,
MYHA,2026-07-01,2026-07,0.11901,1,12,2026-07-07,2026-07-01,2026-06-30,,24.89,24.89,,,,,,2.773646759972233E-4,-6.097765377271654E-4,24.9107,,745.0,4,0,3,6,,,,,,,,false,false,true,,
MYMI,2026-08-03,2026-08,0.055673,1,12,2026-08-06,2026-08-03,2026-01-02,24.545,24.495,24.495,1.0196787731961421E-4,-0.002641260760530839,4.8505741735940577E-4,938.4,23033.155000000002,8.162153651301018E-4,-0.00399530710654387,24.555,747.03,749.44,9,5,3,7,0.8981014136116378,0.0020370747606437444,0.0022682012629863515,2.3112650234260703E-4,0.0032261087238800073,-0.0029949822215374,0.0026756162151150135,true,true,true,false,true
NML,2026-07-15,2026-07,0.07008,1,12,2026-07-31,2026-07-15,2026-06-30,10.46,10.42,10.22,0.003175465282464679,0.0010079937359443458,0.010855469031906496,87757.3703892,910487.4105262121,0.006492758028866508,0.012136155175196802,10.42,751.83,754.24,9,5,3,7,0.5707762557077757,0.0038240917782027648,0.006699808795411089,0.002875717017208325,0.0032055118843355122,-3.2979486712718734E-4,0.002875717017208325,true,true,true,false,false
NMT,2026-07-15,2026-07,0.0605,1,12,2026-08-03,2026-07-15,2026-07-01,12.72,12.675,12.62,4.0417001682013787E-4,-0.0017633015297001953,0.0053488191441201614,24186.897099999995,308238.27721399994,0.003195602443608244,0.008838999589938537,12.74,751.83,754.24,9,5,3,7,0.7438016528925608,0.0035377358490565982,0.0047562893081761004,0.0012185534591195022,0.0032055118843355122,-0.00198695842521601,0.0063286163522012235,true,true,true,false,true
NSC,2026-08-07,2026-08,1.35,1,4,2026-08-20,2026-08-07,2026-07-21,342.46,339.25,334.36,0.005173766356665721,-0.0019956428022849804,0.005766576462784764,894198.5815865999,3.0297386625113016E8,,,,768.56,771.02,6,5,0,7,2.3777777777777627,0.009373357472405476,0.003942066226712609,-0.005431291245692868,0.00320079108983038,-0.008632082335523247,,true,false,true,false,true
NXP,2026-07-15,2026-07,0.0535,1,12,2026-08-03,2026-07-15,2026-07-01,14.47,14.47,14.44,0.002443899614824413,2.7642806830407984E-4,0.005263024159379794,119680.31430620002,1719838.8026961181,4.790321761113011E-7,0.005643876178506406,14.44,751.83,754.24,9,5,3,7,0.0,0.0,0.0036973047684865238,0.0036973047684865238,0.0032055118843355122,4.917928841510115E-4,0.0016240497581201702,true,true,true,false,true
PAYX,2026-07-28,2026-07,1.19,1,4,2026-08-28,2026-07-28,2026-07-16,115.48,116.64,118.87,0.007873446761452435,0.0109433061818843,0.016755483177391044,3169963.531793,3.565379670959422E8,-0.005227127117850412,-0.008086486336978246,116.84,739.09,739.19,9,5,3,7,-0.9747899159663838,-0.010045029442327645,0.010304814686525804,0.02034984412885345,1.3530151943609402E-4,0.020214542609417355,0.022081745756841006,true,true,true,false,false
